id,stagename,aka,nationality,sex,fans,age,criminality
CAP,Capital Bra,Vladislav Balovackij ,ukrainisch ,1,5,2,3
BON,Bonez MC,John Lorenz Moser,deutsch,1,5,4,3
CRO,Cro,Carlo Waibel,deutsch,1,5,3,1
KON,Kontra K ,Maximilian Diehn,deutsch,1,2,3,3
RAF,RAF Camora,Raphael Ragucci,österreichisch,1,2,4,2
APA,Apache 207,Volkan Yaman,deutsch-türkisch,1,5,1,1
RIN,RIN,Renato Simunovic,deutsch-kroatisch,1,3,2,1
GZU,Gzuz,Kristoffer Jonas Klauss,deutsch,1,1,3,3
UFO,Ufo 361,Ufuk Bayraktar,deutsch-türkisch,1,4,3,2
NIMO,Nimo,Nima Yaghobi,deutsch-iranisch,1,4,2,3
SID,Sido,Paul Harmut,deutsch-indisch,1,5,5,3