from,to,relationship,feature,label
CAP,BON,1,2,2
CAP,CRO,2,2,2
CAP,KON,1,2,2
CAP,RAF,1,2,2
CAP,APA,1,,2
CAP,RIN,1,,2
CAP,GZU,1,2,1
CAP,UFO,1,2,2
CAP,NIMO,1,2,2
CAP,SID,2,2,1
BON,CRO,3,,2
BON,KON,2,3,2
BON,RAF,2,3,2
BON,APA,2,,2
BON,RIN,1,,2
BON,GZU,2,3,1
BON,UFO,2,2,2
BON,NIMO,2,,2
BON,SID,1,,2
CRO,KON,1,,2
CRO,RAF,1,,2
CRO,APA,1,,2
CRO,RIN,1,,2
CRO,GZU,1,,2
CRO,UFO,1,,2
CRO,NIMO,1,,2
CRO,SID,1,,2
KON,RAF,2,2,2
KON,APA,1,,2
KON,RIN,1,,2
KON,GZU,2,2,2
KON,UFO,2,2,2
KON,NIMO,1,,2
KON,SID,1,,2
RAF,APA,2,,2
RAF,RIN,1,,2
RAF,GZU,2,2,2
RAF,UFO,2,2,2
RAF,NIMO,1,,2
RAF,SID,1,1,2
APA,RIN,1,,2
APA,GZU,1,,2
APA,UFO,1,,2
APA,NIMO,1,,2
APA,SID,2,1,2
RIN,GZU,1,,2
RIN,UFO,2,2,2
RIN,NIMO,1,2,2
RIN,SID,1,1,2
GZU,UFO,2,2,2
GZU,NIMO,1,,2
GZU,SID,1,,2
UFO,NIMO,2,1,1
UFO,SID,1,,2
NIMO,SID,1,,1